https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLVE,Volume USDT
1657843200,2022-07-15 00:00:00,SOLVE/USDT,0.03236,0.03277,0.03102,0.03234,224229.04802548,7198.1250010596989
1657756800,2022-07-14 00:00:00,SOLVE/USDT,0.03222,0.0326,0.03119,0.03236,278112.41736969,8903.2834151274199
1657670400,2022-07-13 00:00:00,SOLVE/USDT,0.03234,0.03364,0.031,0.03222,145279.48407174,4656.4667807985056
1657584000,2022-07-12 00:00:00,SOLVE/USDT,0.03318,0.03367,0.0321,0.03234,108051.27891317,3573.7249886914694
1657497600,2022-07-11 00:00:00,SOLVE/USDT,0.03434,0.03506,0.03318,0.0333,861113.36160595,29510.29906646192
1657411200,2022-07-10 00:00:00,SOLVE/USDT,0.03734,0.03737,0.03433,0.03435,252264.21266623,8926.9271589953108
1657324800,2022-07-09 00:00:00,SOLVE/USDT,0.03521,0.03802,0.03511,0.03734,573554.71170578,21034.2202181669476
1657238400,2022-07-08 00:00:00,SOLVE/USDT,0.03545,0.04095,0.03481,0.03521,1779951.90266241,67184.3006186396516
1657152000,2022-07-07 00:00:00,SOLVE/USDT,0.03236,0.03836,0.03164,0.03552,1468180.73285969,51966.5125524843058
1657065600,2022-07-06 00:00:00,SOLVE/USDT,0.03046,0.03295,0.03034,0.03255,491318.82597421,15437.2641520063863
1656979200,2022-07-05 00:00:00,SOLVE/USDT,0.02934,0.03713,0.02891,0.03065,4238843.56451636,134366.3008717312904
1656892800,2022-07-04 00:00:00,SOLVE/USDT,0.02833,0.02934,0.02782,0.02931,561528.87129034,16126.5259168616332
1656806400,2022-07-03 00:00:00,SOLVE/USDT,0.02783,0.02876,0.02696,0.02848,1336117.21162101,37345.8445736809835
1656720000,2022-07-02 00:00:00,SOLVE/USDT,0.02924,0.02928,0.02735,0.02802,418970.73661642,11884.7090041816506
1656633600,2022-07-01 00:00:00,SOLVE/USDT,0.02934,0.03127,0.02873,0.02926,677645.88627846,20202.2663801641883
1656547200,2022-06-30 00:00:00,SOLVE/USDT,0.03077,0.03077,0.02795,0.02942,333351.29319735,9781.4403898172305
1656460800,2022-06-29 00:00:00,SOLVE/USDT,0.02977,0.03121,0.02937,0.03079,338027.5840426,10348.1149956926617
1656374400,2022-06-28 00:00:00,SOLVE/USDT,0.03048,0.03097,0.02924,0.02957,387230.49681059,11728.6526479937953
1656288000,2022-06-27 00:00:00,SOLVE/USDT,0.03378,0.03378,0.03,0.03049,255229.66098499,8136.0251678349712
1656201600,2022-06-26 00:00:00,SOLVE/USDT,0.03487,0.0354,0.0334,0.03378,622479.35556218,21429.9110847525926
1656115200,2022-06-25 00:00:00,SOLVE/USDT,0.03362,0.0359,0.0331,0.03486,841212.43059306,29107.1491483448492
1656028800,2022-06-24 00:00:00,SOLVE/USDT,0.03275,0.03988,0.03193,0.03353,3435794.60476781,120092.2442805241216
1655942400,2022-06-23 00:00:00,SOLVE/USDT,0.02698,0.044,0.02671,0.03274,5379766.22729684,188372.4171400934976
