https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TXA,Volume USDT
1650765600,2022-04-24 02:00:00,TXA/USDT,2.0479,2.0479,2.0479,2.0479,4.2532,8.71012828
1650762000,2022-04-24 01:00:00,TXA/USDT,2.048,2.048,2.0479,2.048,24.2443,49.65185513
1650758400,2022-04-24 00:00:00,TXA/USDT,2.0479,2.0479,2.0479,2.0479,1280.7824,2622.91427696
1650754800,2022-04-23 23:00:00,TXA/USDT,2.0445,2.0445,2.0445,2.0445,5.2219,10.67617455
1650751200,2022-04-23 22:00:00,TXA/USDT,2.0445,2.0445,2.0445,2.0445,2.8188,5.7630366
1650747600,2022-04-23 21:00:00,TXA/USDT,2.0408,2.0479,2.0379,2.0479,3421.447,6979.54155052
1650744000,2022-04-23 20:00:00,TXA/USDT,2.0398,2.0409,2.0385,2.0409,17925.7732,36568.88714806
1650740400,2022-04-23 19:00:00,TXA/USDT,2.0381,2.0403,2.0372,2.0398,14072.7321,28694.7971498
1650736800,2022-04-23 18:00:00,TXA/USDT,2.0363,2.0381,2.0363,2.0381,10.9487,22.30831621
1650733200,2022-04-23 17:00:00,TXA/USDT,2.0332,2.0332,2.0332,2.0332,60.9279,123.87860628
1650729600,2022-04-23 16:00:00,TXA/USDT,2.0319,2.0319,2.0319,2.0319,0,0
1650726000,2022-04-23 15:00:00,TXA/USDT,2.0224,2.0382,2.0224,2.0319,464.39366,944.637154866
1650722400,2022-04-23 14:00:00,TXA/USDT,2.0224,2.0224,2.0224,2.0224,0,0
1650718800,2022-04-23 13:00:00,TXA/USDT,2.0224,2.0224,2.0224,2.0224,0,0
1650715200,2022-04-23 12:00:00,TXA/USDT,2.0224,2.0224,2.0224,2.0224,1.44,2.912256
1650711600,2022-04-23 11:00:00,TXA/USDT,2.0187,2.0231,2.0187,2.0213,4.991,10.07972278
1650708000,2022-04-23 10:00:00,TXA/USDT,2.0219,2.0219,2.0158,2.0175,1.9679,3.97050825
1650704400,2022-04-23 09:00:00,TXA/USDT,2.0199,2.0235,2.007,2.007,804.5205,1621.57880514
1650700800,2022-04-23 08:00:00,TXA/USDT,2.0132,2.0237,2.0132,2.0237,0.2,0.40369
1650697200,2022-04-23 07:00:00,TXA/USDT,1.9808,2.0259,1.9808,2.0103,3967.67468211,7987.29596379321
1650693600,2022-04-23 06:00:00,TXA/USDT,1.9808,1.9808,1.9808,1.9808,1.9589,3.88018912
1650690000,2022-04-23 05:00:00,TXA/USDT,1.9808,1.9808,1.9808,1.9808,27.9717,55.40634336
1650686400,2022-04-23 04:00:00,TXA/USDT,1.9788,1.9808,1.9774,1.9808,24134.3038,47778.99277355
