https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPHA,Volume EUR
1658448000,2022-07-22 00:00:00,ALPHA/EUR,0.13139,0.13447,0.13031,0.13031,5949.35766503,775.2607973300594
1658361600,2022-07-21 00:00:00,ALPHA/EUR,0.12828,0.13333,0.12700,0.13327,23987.96615050,3196.876248877135
1658275200,2022-07-20 00:00:00,ALPHA/EUR,0.14108,0.14424,0.12854,0.13016,29718.54732027,3868.1661192063434
1658188800,2022-07-19 00:00:00,ALPHA/EUR,0.11732,0.14110,0.11732,0.14110,49963.05155641,7049.786574609451
1658102400,2022-07-18 00:00:00,ALPHA/EUR,0.13001,0.13917,0.12900,0.13188,69195.52151981,9125.505378032543
1658016000,2022-07-17 00:00:00,ALPHA/EUR,0.12476,0.12776,0.12276,0.12496,22019.76762118,2751.5901619426527
1657929600,2022-07-16 00:00:00,ALPHA/EUR,0.11466,0.12379,0.11466,0.12379,12139.67911220,1502.770877299238
1657843200,2022-07-15 00:00:00,ALPHA/EUR,0.11418,0.11923,0.11418,0.11661,10505.45282252,1225.0408536340572
1657756800,2022-07-14 00:00:00,ALPHA/EUR,0.10940,0.12822,0.10940,0.11568,65661.25319390,7595.693769470353
1657670400,2022-07-13 00:00:00,ALPHA/EUR,0.10414,0.10689,0.10000,0.10424,31660.14903746,3300.2539356648304
1657584000,2022-07-12 00:00:00,ALPHA/EUR,0.10654,0.10853,0.10554,0.10554,33712.11975112,3557.9771185332047
1657497600,2022-07-11 00:00:00,ALPHA/EUR,0.11656,0.11656,0.10500,0.10500,38474.44046361,4039.8162486790497
1657411200,2022-07-10 00:00:00,ALPHA/EUR,0.12046,0.12050,0.11704,0.11739,19079.42271708,2239.733432758021
1657324800,2022-07-09 00:00:00,ALPHA/EUR,0.12290,0.12460,0.12290,0.12400,4273.47099444,529.91040331056
1657238400,2022-07-08 00:00:00,ALPHA/EUR,0.11668,0.11963,0.11644,0.11963,40883.43502596,4890.885332155595
1657152000,2022-07-07 00:00:00,ALPHA/EUR,0.11359,0.12026,0.11349,0.11905,18752.44579655,2232.4786720792777
1657065600,2022-07-06 00:00:00,ALPHA/EUR,0.10883,0.11550,0.10878,0.11550,28761.96150103,3322.0065533689653
1656979200,2022-07-05 00:00:00,ALPHA/EUR,0.11200,0.11362,0.10645,0.11362,9529.60541726,1082.7537675090812
1656892800,2022-07-04 00:00:00,ALPHA/EUR,0.10875,0.11292,0.10875,0.11292,34154.60459230,3856.737950562516
1656806400,2022-07-03 00:00:00,ALPHA/EUR,0.10668,0.11550,0.10626,0.11550,9550.96421178,1103.13636646059
1656720000,2022-07-02 00:00:00,ALPHA/EUR,0.10614,0.10752,0.10394,0.10752,11841.34920850,1273.1818668979201
1656633600,2022-07-01 00:00:00,ALPHA/EUR,0.10787,0.10787,0.10787,0.10787,1023.87151416,110.44502023243919
1656547200,2022-06-30 00:00:00,ALPHA/EUR,0.10500,0.10594,0.10276,0.10487,25878.88916304,2713.9191065280047
1656460800,2022-06-29 00:00:00,ALPHA/EUR,0.11071,0.11186,0.10897,0.11186,35556.71166542,3977.373766893881
1656374400,2022-06-28 00:00:00,ALPHA/EUR,0.11670,0.11792,0.11025,0.11025,6325.06875347,697.3388300700675
1656288000,2022-06-27 00:00:00,ALPHA/EUR,0.11751,0.12331,0.11751,0.11858,9321.12055303,1105.2984751782974
1656201600,2022-06-26 00:00:00,ALPHA/EUR,0.12928,0.13038,0.11889,0.11889,16959.88668902,2016.3609284575878
1656115200,2022-06-25 00:00:00,ALPHA/EUR,0.12735,0.12884,0.11753,0.12283,20660.19303731,2537.6915107727873
1656028800,2022-06-24 00:00:00,ALPHA/EUR,0.11550,0.13235,0.11313,0.12120,51306.65482180,6218.36656440216
1655942400,2022-06-23 00:00:00,ALPHA/EUR,0.10375,0.11351,0.10375,0.11351,14709.53046637,1669.6788032376587
1655856000,2022-06-22 00:00:00,ALPHA/EUR,0.10886,0.11000,0.10500,0.10629,24080.66261910,2559.533629784139
1655769600,2022-06-21 00:00:00,ALPHA/EUR,0.10915,0.11694,0.10915,0.11077,9291.63598060,1029.234517571062
1655683200,2022-06-20 00:00:00,ALPHA/EUR,0.10598,0.11000,0.10508,0.10508,13432.05730290,1411.4405813887322
1655596800,2022-06-19 00:00:00,ALPHA/EUR,0.09246,0.10450,0.09246,0.10450,12728.35147957,1330.1127296150648
1655510400,2022-06-18 00:00:00,ALPHA/EUR,0.09500,0.09768,0.08980,0.09524,41777.29818526,3978.8698791641623
1655424000,2022-06-17 00:00:00,ALPHA/EUR,0.10087,0.10500,0.10087,0.10230,11547.06825040,1181.26508201592
1655337600,2022-06-16 00:00:00,ALPHA/EUR,0.11550,0.11550,0.10000,0.10480,35677.48576641,3739.000508319768
1655251200,2022-06-15 00:00:00,ALPHA/EUR,0.10000,0.11261,0.09500,0.11261,33395.66778691,3760.6861494839354
1655164800,2022-06-14 00:00:00,ALPHA/EUR,0.10951,0.10951,0.10239,0.10350,14042.43873828,1453.39240941198
1655078400,2022-06-13 00:00:00,ALPHA/EUR,0.10905,0.11068,0.09638,0.10085,44685.67732002,4506.5505577240165
1654992000,2022-06-12 00:00:00,ALPHA/EUR,0.12277,0.12633,0.11884,0.11884,37900.36462498,4504.079332032623
1654905600,2022-06-11 00:00:00,ALPHA/EUR,0.14096,0.14181,0.12891,0.12992,25670.68369096,3335.1352251295234
1654819200,2022-06-10 00:00:00,ALPHA/EUR,0.14352,0.14840,0.02000,0.14048,68637.08196227,9642.137274059689
