https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALBT,Volume USDT
1658448000,2022-07-22 00:00:00,ALBT/USDT,0.05326,0.05705,0.05001,0.05054,3877536.4596,206233.164775601
1658361600,2022-07-21 00:00:00,ALBT/USDT,0.0554,0.05999,0.05255,0.05326,3194384.6187,174348.636517947
1658275200,2022-07-20 00:00:00,ALBT/USDT,0.06065,0.06499,0.05507,0.0554,3052660.27083705,180157.9991515261867
1658188800,2022-07-19 00:00:00,ALBT/USDT,0.06094,0.0675,0.05659,0.06066,4870591.02548759,294444.3601998087461
1658102400,2022-07-18 00:00:00,ALBT/USDT,0.0523,0.06199,0.05138,0.06094,4246035.02680019,242982.4552107425773
1658016000,2022-07-17 00:00:00,ALBT/USDT,0.05377,0.05975,0.05139,0.05247,1542171.23609371,84972.1953562695196
1657929600,2022-07-16 00:00:00,ALBT/USDT,0.05364,0.05966,0.05018,0.05369,2335599.36484507,125942.4430286291739
1657843200,2022-07-15 00:00:00,ALBT/USDT,0.05137,0.057,0.05096,0.05331,2981190.86543058,161349.8418589551648
1657756800,2022-07-14 00:00:00,ALBT/USDT,0.04896,0.05365,0.0468,0.05149,3299119.82138475,164399.9122461591451
1657670400,2022-07-13 00:00:00,ALBT/USDT,0.04762,0.05036,0.04556,0.04901,2414697.95049234,115300.4707054827757
1657584000,2022-07-12 00:00:00,ALBT/USDT,0.04921,0.05054,0.04647,0.04789,1808396.72819933,87368.5903756868747
1657497600,2022-07-11 00:00:00,ALBT/USDT,0.05207,0.05218,0.049,0.04949,984945.1856763,49807.2049105198958
1657411200,2022-07-10 00:00:00,ALBT/USDT,0.05199,0.05329,0.05005,0.05185,1292227.16450026,66744.8914498856711
1657324800,2022-07-09 00:00:00,ALBT/USDT,0.0554,0.05587,0.05149,0.05191,1111801.51390859,59168.9700669325273
1657238400,2022-07-08 00:00:00,ALBT/USDT,0.05407,0.05654,0.05105,0.0551,1548105.30483024,84304.9492807942006
1657152000,2022-07-07 00:00:00,ALBT/USDT,0.05495,0.05755,0.05211,0.05374,2056746.85644448,112891.8305471223178
1657065600,2022-07-06 00:00:00,ALBT/USDT,0.05332,0.05796,0.05128,0.05499,2152431.95411842,117611.9814759480993
1656979200,2022-07-05 00:00:00,ALBT/USDT,0.05219,0.054,0.05006,0.05382,1037250.89491,54134.5122630416464
1656892800,2022-07-04 00:00:00,ALBT/USDT,0.05185,0.054,0.05021,0.05173,865919.58600459,44871.7157711585427
1656806400,2022-07-03 00:00:00,ALBT/USDT,0.05024,0.05325,0.05019,0.0521,1221338.12442901,63285.745844925547
1656720000,2022-07-02 00:00:00,ALBT/USDT,0.05023,0.05259,0.04877,0.05019,1629554.13395724,81986.0199801816501
1656633600,2022-07-01 00:00:00,ALBT/USDT,0.04896,0.0536,0.0469,0.0502,2712310.80470078,135743.7310273412605
1656547200,2022-06-30 00:00:00,ALBT/USDT,0.04956,0.05211,0.0445,0.04921,2439859.96844487,116466.4170578691994
1656460800,2022-06-29 00:00:00,ALBT/USDT,0.05183,0.05399,0.04793,0.04986,3260619.46912763,162996.6543599563009
1656374400,2022-06-28 00:00:00,ALBT/USDT,0.05402,0.0547,0.0505,0.05187,1412040.68910246,74017.3809777343013
1656288000,2022-06-27 00:00:00,ALBT/USDT,0.05277,0.05809,0.05134,0.05361,1448575.92283148,79394.8416634745884
1656201600,2022-06-26 00:00:00,ALBT/USDT,0.0549,0.05593,0.0517,0.05277,1594511.86881906,84737.0904714390581
1656115200,2022-06-25 00:00:00,ALBT/USDT,0.05539,0.05789,0.05188,0.05479,3161123.92093636,174260.1274026086525
1656028800,2022-06-24 00:00:00,ALBT/USDT,0.05312,0.05688,0.05149,0.05555,1723242.97659788,92949.4749343365659
1655942400,2022-06-23 00:00:00,ALBT/USDT,0.0487,0.054,0.04824,0.05312,1311740.82905347,66536.9015689913813
