https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PDEX,Volume USDT
1654812000,2022-06-09 22:00:00,PDEX/USDT,1.9492,1.9586,1.9491,1.9493,2999.41439603,5849.198138744358
1654808400,2022-06-09 21:00:00,PDEX/USDT,1.9203,1.9587,1.9201,1.9491,5629.31198514,10923.764056052333
1654804800,2022-06-09 20:00:00,PDEX/USDT,1.9036,1.9391,1.903,1.9202,5043.61713701,9712.929947411798
1654801200,2022-06-09 19:00:00,PDEX/USDT,1.909,1.9125,1.903,1.9035,3090.953,5888.39128361
1654797600,2022-06-09 18:00:00,PDEX/USDT,1.9162,1.9352,1.8999,1.9089,4257.17287675,8166.8846377266
1654794000,2022-06-09 17:00:00,PDEX/USDT,1.938,1.9386,1.9159,1.9161,4001.36324302,7722.162715220569
1654790400,2022-06-09 16:00:00,PDEX/USDT,1.9125,1.9381,1.903,1.9379,3444.64259352,6602.273621716704
1654786800,2022-06-09 15:00:00,PDEX/USDT,1.9124,1.9188,1.8935,1.9126,3919.85616416,7494.492365619352
1654783200,2022-06-09 14:00:00,PDEX/USDT,1.8834,1.9124,1.8832,1.9124,3906.39797887,7398.613773736588
1654779600,2022-06-09 13:00:00,PDEX/USDT,1.8874,1.9027,1.8806,1.8835,3406.07142947,6440.21337949673
1654776000,2022-06-09 12:00:00,PDEX/USDT,1.8832,1.9027,1.8832,1.8873,2554.60530885,4820.193429162107
1654772400,2022-06-09 11:00:00,PDEX/USDT,1.8903,1.8905,1.8751,1.8831,3991.80714932,7516.2178356148
1654768800,2022-06-09 10:00:00,PDEX/USDT,1.9003,1.9028,1.8903,1.8995,3724.54506523,7077.079745129644
1654765200,2022-06-09 09:00:00,PDEX/USDT,1.8953,1.9028,1.8751,1.9002,4510.3854,8540.58642327
1654761600,2022-06-09 08:00:00,PDEX/USDT,1.8928,1.8964,1.8928,1.8963,3285.61493862,6225.203899605384
1654758000,2022-06-09 07:00:00,PDEX/USDT,1.8966,1.906,1.8838,1.8929,4124.82326138,7808.532240664616
