https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC3L,Volume USDT
1655856000,2022-06-22 00:00:00,MATIC3L/USDT,0.003649,0.005,0.002994,0.004542,130248126.548343,512799.95778056831483
1655769600,2022-06-21 00:00:00,MATIC3L/USDT,0.003198,0.004499,0.002979,0.003627,80770716.72129523,315475.13498377423033
1655683200,2022-06-20 00:00:00,MATIC3L/USDT,0.002811,0.00342,0.002273,0.003192,96375852.25171207,278514.35035554873245
1655596800,2022-06-19 00:00:00,MATIC3L/USDT,0.002109,0.002869,0.001775,0.002828,97944343.41128237,222548.64216003618276
1655510400,2022-06-18 00:00:00,MATIC3L/USDT,0.003595,0.003787,0.001602,0.002162,84821639.21529799,191810.94787168703991
1655424000,2022-06-17 00:00:00,MATIC3L/USDT,0.003176,0.003818,0.00306,0.003545,26341419.00709672,93116.25542304367976
1655337600,2022-06-16 00:00:00,MATIC3L/USDT,0.005073,0.005331,0.003,0.00316,60740068.11399279,250842.88071159991742
1655251200,2022-06-15 00:00:00,MATIC3L/USDT,0.004262,0.005089,0.002684,0.005055,98410926.39224233,363525.83325483338715
1655164800,2022-06-14 00:00:00,MATIC3L/USDT,0.00477,0.005501,0.003746,0.004304,49947904.19003583,223479.59019464814317
1655078400,2022-06-13 00:00:00,MATIC3L/USDT,0.008219,0.008659,0.004,0.00484,57543482.03779259,305546.47690262081025
1654992000,2022-06-12 00:00:00,MATIC3L/USDT,0.010628,0.01119,0.00822,0.00822,14794795.77668742,142380.35230617737152
1654905600,2022-06-11 00:00:00,MATIC3L/USDT,0.014668,0.01569,0.010148,0.010585,10764398.74533999,132045.15735057921135
1654819200,2022-06-10 00:00:00,MATIC3L/USDT,0.018038,0.020628,0.014667,0.014792,11625635.94987389,204888.06043332011885
1654732800,2022-06-09 00:00:00,MATIC3L/USDT,0.015864,0.019492,0.015542,0.018049,11157176.41571957,196316.28599421108988
1654646400,2022-06-08 00:00:00,MATIC3L/USDT,0.016845,0.018117,0.015433,0.015912,10511508.60801239,174101.43295310581937
1654560000,2022-06-07 00:00:00,MATIC3L/USDT,0.017983,0.017983,0.014001,0.0168,11453711.13686865,177352.35000832835175
1654473600,2022-06-06 00:00:00,MATIC3L/USDT,0.015385,0.019774,0.015248,0.018004,12111461.63441517,221345.88284052818956
1654387200,2022-06-05 00:00:00,MATIC3L/USDT,0.015183,0.016209,0.014366,0.015426,4599182.8252247,70087.93807103827107
1654300800,2022-06-04 00:00:00,MATIC3L/USDT,0.014465,0.015453,0.013542,0.015116,4384244.91050157,64195.52726797466221
1654214400,2022-06-03 00:00:00,MATIC3L/USDT,0.01701,0.01701,0.01356,0.014514,5788026.57671101,85918.38670194832683
1654128000,2022-06-02 00:00:00,MATIC3L/USDT,0.015598,0.017359,0.014688,0.016932,5628775.10031306,88994.53385500412822
1654041600,2022-06-01 00:00:00,MATIC3L/USDT,0.0216,0.022114,0.014101,0.015502,8088639.98846236,149830.18993080084366
1653955200,2022-05-31 00:00:00,MATIC3L/USDT,0.020766,0.023959,0.019501,0.0216,11531096.62480097,246984.51046858821299
1653868800,2022-05-30 00:00:00,MATIC3L/USDT,0.0162,0.021383,0.0158,0.0208,11560578.78232206,217330.86683610514504
1653782400,2022-05-29 00:00:00,MATIC3L/USDT,0.0151,0.0164,0.0142,0.0161,4283076.28654496,66399.510767959673
1653696000,2022-05-28 00:00:00,MATIC3L/USDT,0.0143,0.0159,0.014,0.0152,6032048.14796277,91033.047608523179
1653609600,2022-05-27 00:00:00,MATIC3L/USDT,0.0164,0.0175,0.0133,0.0143,13440639.30535665,204319.442087259835
1653523200,2022-05-26 00:00:00,MATIC3L/USDT,0.0207,0.0221,0.0143,0.0164,17380076.9850428,309134.769446419053
1653436800,2022-05-25 00:00:00,MATIC3L/USDT,0.0225,0.0235,0.0188,0.0208,8599817.80445501,179871.238313781615
1653350400,2022-05-24 00:00:00,MATIC3L/USDT,0.0203,0.0229,0.0176,0.0225,9296989.10568199,187811.350912760621
1653264000,2022-05-23 00:00:00,MATIC3L/USDT,0.0238,0.0268,0.0194,0.0204,9419094.66688732,227532.502715286247
1653177600,2022-05-22 00:00:00,MATIC3L/USDT,0.0214,0.0251,0.0205,0.0241,5023667.47194983,114438.733179676326
1653091200,2022-05-21 00:00:00,MATIC3L/USDT,0.0198,0.0222,0.0186,0.0212,4570374.29457695,93900.497748403052
1653004800,2022-05-20 00:00:00,MATIC3L/USDT,0.0223,0.0242,0.018,0.0197,8128740.44713497,169495.376380104245
1652918400,2022-05-19 00:00:00,MATIC3L/USDT,0.0192,0.0233,0.0174,0.0222,11417109.40162467,233843.402053022106
1652832000,2022-05-18 00:00:00,MATIC3L/USDT,0.0326,0.0339,0.0187,0.0191,7790846.30925178,184494.718456677491
1652745600,2022-05-17 00:00:00,MATIC3L/USDT,0.0264,0.0339,0.0264,0.0324,4491939.03046322,136207.629401974071
1652659200,2022-05-16 00:00:00,MATIC3L/USDT,0.0346,0.0354,0.024,0.0265,5307019.39618474,145750.846203432911
1652572800,2022-05-15 00:00:00,MATIC3L/USDT,0.0278,0.0354,0.0247,0.0354,4707152.33699509,138202.564474992365
