https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume BTC
1659225600,2022-07-31 00:00:00,FTT/BTC,0.0013154,0.001324,0.0013005,0.0013033,1620.6621,2.12353351811
1659139200,2022-07-30 00:00:00,FTT/BTC,0.0013084,0.0013203,0.0013006,0.0013135,160.3689,0.21036207419
1659052800,2022-07-29 00:00:00,FTT/BTC,0.001271,0.0013116,0.0012577,0.0013097,478.9402,0.61116464586
1658966400,2022-07-28 00:00:00,FTT/BTC,0.0012843,0.0012862,0.0012606,0.0012679,214.4572,0.27357464826
1658880000,2022-07-27 00:00:00,FTT/BTC,0.0012728,0.001303,0.0012642,0.001283,2297.7929,2.93769386732
1658793600,2022-07-26 00:00:00,FTT/BTC,0.0012679,0.001275,0.001244,0.0012709,93.846,0.11862236864
1658707200,2022-07-25 00:00:00,FTT/BTC,0.0012898,0.0012902,0.0012549,0.0012688,1378.2543,1.75171860538
1658620800,2022-07-24 00:00:00,FTT/BTC,0.001271,0.0013008,0.0012692,0.0012883,170.4528,0.21843013852
1658534400,2022-07-23 00:00:00,FTT/BTC,0.0012756,0.0012947,0.0012604,0.0012701,74.2011,0.09453753329
1658448000,2022-07-22 00:00:00,FTT/BTC,0.0012727,0.0012934,0.0012712,0.0012725,269.5926,0.34552885217
1658361600,2022-07-21 00:00:00,FTT/BTC,0.0012405,0.0012844,0.0012243,0.0012725,255.6747,0.32187627382
1658275200,2022-07-20 00:00:00,FTT/BTC,0.0012458,0.0012582,0.0012349,0.0012392,338.3087,0.42048867419
1658188800,2022-07-19 00:00:00,FTT/BTC,0.0013336,0.0013337,0.0012432,0.0012457,1024.06326217,1.320154356183966
1658102400,2022-07-18 00:00:00,FTT/BTC,0.0013307,0.0013459,0.0013144,0.0013319,452.57418567,0.601321472002538
1658016000,2022-07-17 00:00:00,FTT/BTC,0.0013226,0.0013319,0.0013113,0.0013269,518.9096705,0.68402637303285
1657929600,2022-07-16 00:00:00,FTT/BTC,0.0012847,0.0013274,0.0012821,0.0013225,398.58044251,0.521319012790009
1657843200,2022-07-15 00:00:00,FTT/BTC,0.0012582,0.0012916,0.0012555,0.0012844,288.9447209,0.367260565555561
1657756800,2022-07-14 00:00:00,FTT/BTC,0.0012339,0.0012637,0.0012328,0.0012554,1023.28542594,1.282710191925964
1657670400,2022-07-13 00:00:00,FTT/BTC,0.0012363,0.0012435,0.0012233,0.0012355,882.23738635,1.086178962670822
1657584000,2022-07-12 00:00:00,FTT/BTC,0.0012503,0.0012578,0.0012371,0.0012379,925.26682138,1.157984609999614
1657497600,2022-07-11 00:00:00,FTT/BTC,0.0012403,0.00126,0.0012355,0.0012527,247.91961234,0.307341805402928
1657411200,2022-07-10 00:00:00,FTT/BTC,0.0012568,0.0012596,0.0012307,0.0012413,148.75673487,0.184345950779781
1657324800,2022-07-09 00:00:00,FTT/BTC,0.0012697,0.0012735,0.0012545,0.0012575,196.97436066,0.24855359095803
1657238400,2022-07-08 00:00:00,FTT/BTC,0.0012694,0.001275,0.0012519,0.0012648,588.30373617,0.74354287590596
1657152000,2022-07-07 00:00:00,FTT/BTC,0.001279,0.0013133,0.001264,0.0012711,1328.8722,1.72872855901
1657065600,2022-07-06 00:00:00,FTT/BTC,0.0012482,0.0012879,0.0012454,0.0012783,516.7909507,0.655190235247277
1656979200,2022-07-05 00:00:00,FTT/BTC,0.0012808,0.0012875,0.0012464,0.0012499,264.59590399,0.337137917674943
1656892800,2022-07-04 00:00:00,FTT/BTC,0.0012615,0.0012898,0.001254,0.0012799,367.9032,0.46392194639
1656806400,2022-07-03 00:00:00,FTT/BTC,0.0012763,0.0012765,0.0012512,0.0012623,1769.70319639,2.234757015756562
1656720000,2022-07-02 00:00:00,FTT/BTC,0.0012736,0.0012809,0.0012621,0.0012774,1098.1590573,1.399907992046909
1656633600,2022-07-01 00:00:00,FTT/BTC,0.0012349,0.0012808,0.0012218,0.0012777,3283.46732856,4.127683333930433
1656547200,2022-06-30 00:00:00,FTT/BTC,0.0012386,0.0012551,0.0012226,0.0012349,6026.00007375,7.462736020962618
1656460800,2022-06-29 00:00:00,FTT/BTC,0.0012652,0.00127,0.0012349,0.0012349,1502.24289283,1.887125681836537
1656374400,2022-06-28 00:00:00,FTT/BTC,0.0013102,0.0013167,0.0012644,0.0012644,2803.26132637,3.61140697447466
1656288000,2022-06-27 00:00:00,FTT/BTC,0.0012925,0.0013108,0.0012876,0.0013097,1782.55855544,2.317097550767066
1656201600,2022-06-26 00:00:00,FTT/BTC,0.0012991,0.00133,0.0012904,0.0012918,1604.52944984,2.102537351654634
