https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1659751200,2022-08-06 02:00:00,ETH/USDT,1726.09,1733.22,1638.95,1733.22,5.12653662,8885.4158005164
1659747600,2022-08-06 01:00:00,ETH/USDT,1745.51,1745.51,1745.51,1745.51,0.00000000,0.0
1659744000,2022-08-06 00:00:00,ETH/USDT,1738.07,1746.31,1735.52,1745.51,11.82655384,20643.367993258402
1659740400,2022-08-05 23:00:00,ETH/USDT,1719.20,1740.98,1717.90,1737.39,1.20738626,2097.7008142614004
1659736800,2022-08-05 22:00:00,ETH/USDT,1699.42,1719.04,1699.42,1718.33,4.27152247,7339.885205875099
1659733200,2022-08-05 21:00:00,ETH/USDT,1679.99,1707.68,1679.99,1693.64,13.62359460,23073.464758344002
1659729600,2022-08-05 20:00:00,ETH/USDT,1678.52,1682.37,1667.76,1680.58,9.72067118,16336.365571684399
1659726000,2022-08-05 19:00:00,ETH/USDT,1668.67,1681.50,1668.67,1681.50,10.09380296,16972.72967724
1659722400,2022-08-05 18:00:00,ETH/USDT,1667.24,1670.62,1664.16,1664.16,12.32269404,20506.9345136064
1659718800,2022-08-05 17:00:00,ETH/USDT,1672.70,1681.51,1668.03,1669.11,14.15196283,23621.1826791813
1659715200,2022-08-05 16:00:00,ETH/USDT,1671.15,1675.50,1658.44,1668.25,13.33583384,22247.50480358
1659711600,2022-08-05 15:00:00,ETH/USDT,1685.63,1685.63,1671.92,1671.92,6.58187851,11004.3743184392
1659708000,2022-08-05 14:00:00,ETH/USDT,1715.69,1715.69,1693.53,1693.53,2.54817833,4315.4164472049
1659704400,2022-08-05 13:00:00,ETH/USDT,1685.98,1690.21,1670.76,1685.18,3.51375158,5921.3038875844
1659700800,2022-08-05 12:00:00,ETH/USDT,1715.86,1724.45,1677.26,1679.30,15.54746514,26108.858209602
1659697200,2022-08-05 11:00:00,ETH/USDT,1667.95,1714.92,1667.94,1714.92,13.08827014,22445.336228488803
1659693600,2022-08-05 10:00:00,ETH/USDT,1663.12,1665.55,1663.12,1665.55,3.78368786,6301.921315223
1659690000,2022-08-05 09:00:00,ETH/USDT,1655.41,1664.93,1655.41,1664.93,14.66681330,24419.217467569
1659686400,2022-08-05 08:00:00,ETH/USDT,1665.69,1665.69,1654.21,1654.21,14.29985471,23654.9626598291
1659682800,2022-08-05 07:00:00,ETH/USDT,1664.76,1666.16,1655.95,1666.16,10.05263148,16749.2924667168
1659679200,2022-08-05 06:00:00,ETH/USDT,1661.44,1726.13,1661.44,1662.82,10.00228365,16631.997298893002
1659675600,2022-08-05 05:00:00,ETH/USDT,1652.39,1657.99,1649.56,1657.99,5.39170758,8939.397250564201
1659672000,2022-08-05 04:00:00,ETH/USDT,1663.85,1663.85,1655.63,1655.63,14.55740792,24101.6812745896
1659668400,2022-08-05 03:00:00,ETH/USDT,1662.88,1663.56,1653.28,1658.99,21.60924828,35849.526804037196
1659664800,2022-08-05 02:00:00,ETH/USDT,1648.36,1665.70,1648.36,1663.79,17.61855926,29313.582711195402
1659661200,2022-08-05 01:00:00,ETH/USDT,1612.02,1648.43,1612.02,1648.43,9.68748663,15969.143585490901
1659657600,2022-08-05 00:00:00,ETH/USDT,1608.63,1616.19,1608.04,1614.89,1.55357757,2508.8568820173004
1659654000,2022-08-04 23:00:00,ETH/USDT,1608.44,1608.44,1608.44,1608.44,1.91490946,3080.0169718424004
1659650400,2022-08-04 22:00:00,ETH/USDT,1583.44,1600.96,1583.44,1598.03,30.19909399,48259.0581688397
1659646800,2022-08-04 21:00:00,ETH/USDT,1595.60,1595.60,1583.44,1583.44,71.93679785,113907.603187604
1659643200,2022-08-04 20:00:00,ETH/USDT,1594.45,1597.12,1594.45,1597.12,1.92404460,3072.9301115519997
1659639600,2022-08-04 19:00:00,ETH/USDT,1600.00,1600.00,1401.12,1591.72,40.65051619,64704.239629946795
1659636000,2022-08-04 18:00:00,ETH/USDT,1595.47,1608.48,1585.00,1599.70,74.83973629,119721.12614311301
1659632400,2022-08-04 17:00:00,ETH/USDT,1592.75,1594.64,1590.00,1594.64,190.15604365,303230.433446036
1659628800,2022-08-04 16:00:00,ETH/USDT,1616.31,1622.06,1585.28,1585.28,4.39392312,6965.5984436736
1659625200,2022-08-04 15:00:00,ETH/USDT,1612.43,1612.43,1604.07,1607.21,6.12465968,9843.6142842928
1659621600,2022-08-04 14:00:00,ETH/USDT,1633.54,1638.55,1599.00,1607.84,21.05490013,33852.9106250192
1659618000,2022-08-04 13:00:00,ETH/USDT,1621.40,1642.10,1616.34,1632.54,5.60830887,9155.7885626298
1659614400,2022-08-04 12:00:00,ETH/USDT,1618.45,1622.83,1612.93,1615.85,5.72282959,9247.234193001499
