https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume BTC
1658361600000.0,2022-07-21 00:00:00,DOT/BTC,0.00032134,0.00032663,0.00031655,0.00032506,6226.3494524087855,2.023937153
1658275200000.0,2022-07-20 00:00:00,DOT/BTC,0.00033318,0.00034257,0.00031973,0.00032134,11675.348786332233,3.751756579
1658188800000.0,2022-07-19 00:00:00,DOT/BTC,0.00034095,0.00035527,0.00033297,0.00033318,19385.427291554115,6.458836665
1658102400000.0,2022-07-18 00:00:00,DOT/BTC,0.00033271,0.00034417,0.00033245,0.00034095,9413.677811995893,3.20959345
1658016000000.0,2022-07-17 00:00:00,DOT/BTC,0.00033895,0.00033967,0.00032929,0.00033271,7787.02184785549,2.590820039
1657929600000.0,2022-07-16 00:00:00,DOT/BTC,0.00032639,0.00033922,0.00031997,0.00033895,8151.315952205338,2.762888542
1657843200000.0,2022-07-15 00:00:00,DOT/BTC,0.0003267,0.0003325,0.00032477,0.00032639,10864.813909739882,3.546166612
1657756800000.0,2022-07-14 00:00:00,DOT/BTC,0.00031942,0.00032736,0.0003169,0.0003267,11869.379369452095,3.87772624
1657670400000.0,2022-07-13 00:00:00,DOT/BTC,0.00032506,0.0003289,0.00031615,0.00031942,28894.417991985472,9.229454995
1657584000000.0,2022-07-12 00:00:00,DOT/BTC,0.00032692,0.00033219,0.00032283,0.00032506,7543.191856887958,2.451989945
1657497600000.0,2022-07-11 00:00:00,DOT/BTC,0.00032843,0.00033488,0.00032563,0.00032692,6752.513492597577,2.207531711
1657411200000.0,2022-07-10 00:00:00,DOT/BTC,0.00033615,0.0003369,0.00032417,0.00032843,11175.156955820114,3.670256799
1657324800000.0,2022-07-09 00:00:00,DOT/BTC,0.00032539,0.00034007,0.00032539,0.00033615,18090.646979027217,6.081170982
1657238400000.0,2022-07-08 00:00:00,DOT/BTC,0.00033815,0.00033868,0.00032297,0.00032539,13260.178361350992,4.314729437
