https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEN,Volume USDT
1663056000,2022-09-13 08:00:00,ZEN/USDT,16.395,16.447,16.312,16.316,21.7114,355.071805
1663052400,2022-09-13 07:00:00,ZEN/USDT,16.145,16.383,16.089,16.356,3.8741,62.7858451
1663048800,2022-09-13 06:00:00,ZEN/USDT,16.206,16.244,16.041,16.041,2.0336,32.8383875
1663045200,2022-09-13 05:00:00,ZEN/USDT,16.088,16.202,16.088,16.088,0.9717,15.6630259
1663041600,2022-09-13 04:00:00,ZEN/USDT,16.155,16.224,16.097,16.128,51.9485,838.5486548
1663038000,2022-09-13 03:00:00,ZEN/USDT,16.144,16.224,16.047,16.209,2.9807,48.0603366
1663034400,2022-09-13 02:00:00,ZEN/USDT,15.969,16.148,15.86,16.148,9.7223,155.6970885
1663030800,2022-09-13 01:00:00,ZEN/USDT,16.155,16.213,15.907,15.984,391.9699,6316.130214
1663027200,2022-09-13 00:00:00,ZEN/USDT,16.526,16.526,16.052,16.202,46.8376,760.9843802
1663023600,2022-09-12 23:00:00,ZEN/USDT,16.415,16.517,16.393,16.42,0.2963,4.8784258
1663020000,2022-09-12 22:00:00,ZEN/USDT,16.42,16.467,16.344,16.417,6.6355,108.5067535
1663016400,2022-09-12 21:00:00,ZEN/USDT,16.501,16.501,16.344,16.389,0.8755,14.4182942
1663012800,2022-09-12 20:00:00,ZEN/USDT,16.431,16.463,16.431,16.434,180.9694,2975.1376101
1663009200,2022-09-12 19:00:00,ZEN/USDT,16.383,16.431,16.365,16.431,0.3784,6.2044461
1663005600,2022-09-12 18:00:00,ZEN/USDT,16.447,16.455,16.298,16.364,53.5343,879.7222695
1663002000,2022-09-12 17:00:00,ZEN/USDT,16.333,16.486,16.333,16.486,1.7895,29.3654725
1662998400,2022-09-12 16:00:00,ZEN/USDT,16.625,16.625,16.15,16.387,46.6018,758.2557008
1662994800,2022-09-12 15:00:00,ZEN/USDT,16.788,16.836,16.534,16.552,478.0196,8017.8649308
1662991200,2022-09-12 14:00:00,ZEN/USDT,16.961,16.987,16.788,16.898,25.4255,430.5332883
1662987600,2022-09-12 13:00:00,ZEN/USDT,16.876,17.086,16.87,17.02,174.4425,2954.9401875
1662984000,2022-09-12 12:00:00,ZEN/USDT,16.808,16.94,16.808,16.92,63.4038,1074.0054474
1662980400,2022-09-12 11:00:00,ZEN/USDT,16.924,16.94,16.788,16.814,25.8379,435.9031843
1662976800,2022-09-12 10:00:00,ZEN/USDT,16.788,16.966,16.788,16.956,1.0913,18.4641641
1662973200,2022-09-12 09:00:00,ZEN/USDT,16.918,16.928,16.815,16.834,74.2017,1251.9167976
1662969600,2022-09-12 08:00:00,ZEN/USDT,16.685,16.97,16.66,16.97,15.1579,255.378017
1662966000,2022-09-12 07:00:00,ZEN/USDT,16.72,16.78,16.667,16.721,1105.8634,18543.2391093
1662962400,2022-09-12 06:00:00,ZEN/USDT,16.576,16.736,16.576,16.719,7.3233,121.8519616
1662958800,2022-09-12 05:00:00,ZEN/USDT,16.576,16.628,16.548,16.628,182.3457,3024.7637989
1662955200,2022-09-12 04:00:00,ZEN/USDT,16.517,16.615,16.517,16.615,45.065,748.669366
1662951600,2022-09-12 03:00:00,ZEN/USDT,16.58,16.628,16.345,16.476,3.7139,61.3678856
1662948000,2022-09-12 02:00:00,ZEN/USDT,16.942,17.038,16.447,16.566,30.7838,514.4204822
1662944400,2022-09-12 01:00:00,ZEN/USDT,16.224,16.947,16.2,16.895,115.522,1907.1674018
1662940800,2022-09-12 00:00:00,ZEN/USDT,16.442,16.464,16.244,16.244,6.2213,101.3866572
1662937200,2022-09-11 23:00:00,ZEN/USDT,16.364,16.474,16.298,16.441,25.1441,413.8451331
1662933600,2022-09-11 22:00:00,ZEN/USDT,16.224,16.424,16.224,16.424,1.9919,32.50184
1662930000,2022-09-11 21:00:00,ZEN/USDT,16.498,16.522,16.143,16.143,262.0576,4313.4098868
1662926400,2022-09-11 20:00:00,ZEN/USDT,16.601,16.684,16.371,16.547,440.6016,7290.4982925
1662922800,2022-09-11 19:00:00,ZEN/USDT,16.532,16.581,16.495,16.581,43.8316,726.3120722
1662919200,2022-09-11 18:00:00,ZEN/USDT,16.685,16.685,16.534,16.534,0.5841,9.685053
1662915600,2022-09-11 17:00:00,ZEN/USDT,16.775,16.788,16.595,16.595,357.6815,5970.6089677
1662912000,2022-09-11 16:00:00,ZEN/USDT,16.686,16.791,16.686,16.71,170.086,2845.7891179
1662908400,2022-09-11 15:00:00,ZEN/USDT,16.625,16.663,16.625,16.645,4.6615,77.6532515
1662904800,2022-09-11 14:00:00,ZEN/USDT,16.666,16.666,16.532,16.617,1.1374,18.8365058
1662901200,2022-09-11 13:00:00,ZEN/USDT,16.726,16.788,16.618,16.665,22.7306,380.7022286
1662897600,2022-09-11 12:00:00,ZEN/USDT,16.788,16.824,16.627,16.724,23.618,393.6095108
1662894000,2022-09-11 11:00:00,ZEN/USDT,16.625,16.78,16.625,16.744,93.7861,1566.241325
