https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARPA,Volume USDT
1660431600,2022-08-13 23:00:00,ARPA/USDT,0.044217,0.044305,0.044112,0.044203,1610.232,71.1429172204
1660428000,2022-08-13 22:00:00,ARPA/USDT,0.044421,0.044509,0.044251,0.044251,1364.55236252,60.55626566959611
1660424400,2022-08-13 21:00:00,ARPA/USDT,0.044461,0.044548,0.04435,0.044396,8454.24683324,376.01677958719334
1660420800,2022-08-13 20:00:00,ARPA/USDT,0.044101,0.044509,0.044039,0.044477,104500.13942771,4631.24777217405085
1660417200,2022-08-13 19:00:00,ARPA/USDT,0.044432,0.044432,0.044019,0.044156,77032.82874296,3395.3733237195708
1660413600,2022-08-13 18:00:00,ARPA/USDT,0.044518,0.044612,0.044317,0.044354,6807.91707161,302.4038061256539
1660410000,2022-08-13 17:00:00,ARPA/USDT,0.044255,0.044688,0.044255,0.044604,16703.36541261,744.14350846247068
1660406400,2022-08-13 16:00:00,ARPA/USDT,0.044377,0.044377,0.044217,0.04432,1750.769,77.5389595209
1660402800,2022-08-13 15:00:00,ARPA/USDT,0.044295,0.044661,0.044255,0.044312,65382.87610734,2909.39289111102261
1660399200,2022-08-13 14:00:00,ARPA/USDT,0.044187,0.044394,0.044166,0.044321,4274.09412369,189.16425747858261
1660395600,2022-08-13 13:00:00,ARPA/USDT,0.044196,0.044403,0.044118,0.044166,6827.69107247,302.03439096216268
1660392000,2022-08-13 12:00:00,ARPA/USDT,0.044245,0.044322,0.043882,0.044281,4194.31218421,184.77947510884308
1660388400,2022-08-13 11:00:00,ARPA/USDT,0.04442,0.04442,0.043943,0.044293,11243.86615694,496.42783082108525
1660384800,2022-08-13 10:00:00,ARPA/USDT,0.044607,0.044607,0.044329,0.044329,14746.73509869,655.21308690797096
1660381200,2022-08-13 09:00:00,ARPA/USDT,0.044262,0.044697,0.044176,0.044598,68232.61879791,3025.2282465039051
1660377600,2022-08-13 08:00:00,ARPA/USDT,0.044548,0.044766,0.044245,0.044271,16461.07698595,731.42679576812079
1660374000,2022-08-13 07:00:00,ARPA/USDT,0.044933,0.044933,0.044548,0.044548,1767.53383379,79.00282932422342
1660370400,2022-08-13 06:00:00,ARPA/USDT,0.044923,0.045239,0.044714,0.044811,10456.61299993,471.39307514911631
1660366800,2022-08-13 05:00:00,ARPA/USDT,0.04463,0.044906,0.044583,0.044906,6006.27318289,268.29339319632864
1660363200,2022-08-13 04:00:00,ARPA/USDT,0.044942,0.045025,0.0445,0.044608,9214.80464185,412.65113381291143
1660359600,2022-08-13 03:00:00,ARPA/USDT,0.045133,0.045133,0.044727,0.044875,4678.72034717,210.57744004363157
1660356000,2022-08-13 02:00:00,ARPA/USDT,0.044729,0.04516,0.044729,0.044971,16850.60226022,759.57175332248024
1660352400,2022-08-13 01:00:00,ARPA/USDT,0.044585,0.045056,0.044472,0.0448,33309.03663444,1489.5048959579111
1660348800,2022-08-13 00:00:00,ARPA/USDT,0.044436,0.044568,0.044361,0.044525,12191.83824844,542.01788442309587
1660345200,2022-08-12 23:00:00,ARPA/USDT,0.04428,0.044585,0.044192,0.044565,3023.13134247,134.36027308901781
1660341600,2022-08-12 22:00:00,ARPA/USDT,0.04415,0.044283,0.043987,0.04428,6210.33450538,274.26511607964379
1660338000,2022-08-12 21:00:00,ARPA/USDT,0.044124,0.044296,0.044124,0.04415,7626.11014859,337.51456358803967
1660334400,2022-08-12 20:00:00,ARPA/USDT,0.044251,0.044335,0.044039,0.044329,22398.81297739,987.08568689121005
1660330800,2022-08-12 19:00:00,ARPA/USDT,0.044142,0.044407,0.044142,0.044251,27501.98722346,1219.36937507594854
1660327200,2022-08-12 18:00:00,ARPA/USDT,0.044114,0.044309,0.043884,0.044142,134772.5019666,5947.50552543218636
1660323600,2022-08-12 17:00:00,ARPA/USDT,0.043853,0.044095,0.043853,0.044095,936.74838661,41.19503116322447
1660320000,2022-08-12 16:00:00,ARPA/USDT,0.044064,0.044154,0.043895,0.043895,13915.88946297,613.84179979081295
1660316400,2022-08-12 15:00:00,ARPA/USDT,0.043917,0.044154,0.043718,0.043929,37021.47248475,1629.55764883300944
1660312800,2022-08-12 14:00:00,ARPA/USDT,0.044447,0.044447,0.043668,0.043848,53433.79798116,2346.73955637610948
