https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume USDT
1662717600,2022-09-09 10:00:00,BURGER/USDT,1.1387,1.1503,1.1357,1.1503,8484.4636225,9713.380455759852
1662714000,2022-09-09 09:00:00,BURGER/USDT,1.141,1.141,1.1326,1.1358,3437.3108,3902.8816079
1662710400,2022-09-09 08:00:00,BURGER/USDT,1.1389,1.1485,1.1369,1.1398,3344.77903261,3826.029333898035
1662706800,2022-09-09 07:00:00,BURGER/USDT,1.1403,1.1447,1.1346,1.1447,10610.1353,12086.74109168
1662703200,2022-09-09 06:00:00,BURGER/USDT,1.1441,1.1478,1.1357,1.1407,8893.57425421,10128.476480443241
1662699600,2022-09-09 05:00:00,BURGER/USDT,1.1354,1.1764,1.1354,1.1412,21753.75572288,25029.327718992622
1662696000,2022-09-09 04:00:00,BURGER/USDT,1.1212,1.1356,1.1212,1.1296,13582.21655404,15378.103045033694
1662692400,2022-09-09 03:00:00,BURGER/USDT,1.1048,1.1286,1.1048,1.1248,6495.42403577,7270.249035368418
1662688800,2022-09-09 02:00:00,BURGER/USDT,1.103,1.1065,1.103,1.1058,1356.7319,1500.32146413
1662685200,2022-09-09 01:00:00,BURGER/USDT,1.1018,1.1035,1.1018,1.1023,711.1619,784.09213761
1662681600,2022-09-09 00:00:00,BURGER/USDT,1.1001,1.1017,1.099,1.0991,2067.16281183,2275.028483763111
1662678000,2022-09-08 23:00:00,BURGER/USDT,1.0954,1.101,1.0954,1.0985,652.25730001,716.257488044642
1662674400,2022-09-08 22:00:00,BURGER/USDT,1.0948,1.0963,1.093,1.0934,1525.4807,1670.02070178
1662670800,2022-09-08 21:00:00,BURGER/USDT,1.1025,1.1025,1.0947,1.0947,4177.8405,4579.77441596
1662667200,2022-09-08 20:00:00,BURGER/USDT,1.1073,1.1129,1.1033,1.1033,3710.33977231,4111.103136949021
1662663600,2022-09-08 19:00:00,BURGER/USDT,1.0938,1.1088,1.0938,1.1071,4575.6694,5028.06822707
1662660000,2022-09-08 18:00:00,BURGER/USDT,1.0908,1.0995,1.09,1.0933,9770.6803,10675.46338701
1662656400,2022-09-08 17:00:00,BURGER/USDT,1.0956,1.0972,1.0877,1.0877,4590.00662269,5023.177297801508
