https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RSR,Volume USDT
1659139200,2022-07-30 00:00:00,RSR/USDT,0.006766,0.007759,0.006607,0.006886,363511706.08058189,2606661.42513115060607
1659052800,2022-07-29 00:00:00,RSR/USDT,0.006371,0.007075,0.006233,0.00675,380709152.50459642,2550225.1016510402052
1658966400,2022-07-28 00:00:00,RSR/USDT,0.00621,0.00662,0.005958,0.006352,209706621.09753287,1311883.49920238153809
1658880000,2022-07-27 00:00:00,RSR/USDT,0.005764,0.006223,0.005611,0.006206,180006193.52867494,1057992.32339898083228
1658793600,2022-07-26 00:00:00,RSR/USDT,0.005669,0.005817,0.005544,0.005767,155423909.8490004,879956.11730099881808
1658707200,2022-07-25 00:00:00,RSR/USDT,0.00614,0.006215,0.005669,0.005676,161764408.94260501,958654.55278213740671
1658620800,2022-07-24 00:00:00,RSR/USDT,0.006352,0.006434,0.006129,0.006143,97414950.58821368,613421.61006002051591
1658534400,2022-07-23 00:00:00,RSR/USDT,0.006268,0.006507,0.006044,0.00633,123643522.20014178,772519.79793383607731
1658448000,2022-07-22 00:00:00,RSR/USDT,0.00655,0.0068,0.006202,0.00628,167874752.52511125,1097732.23659030458177
1658361600,2022-07-21 00:00:00,RSR/USDT,0.006559,0.006668,0.006257,0.00655,174362888.97567969,1130619.65617834432274
1658275200,2022-07-20 00:00:00,RSR/USDT,0.007245,0.007435,0.006446,0.006557,291015019.71574921,2022975.63265408119919
1658188800,2022-07-19 00:00:00,RSR/USDT,0.00712,0.007508,0.006839,0.007258,328924180.50993229,2361231.9142774412076
1658102400,2022-07-18 00:00:00,RSR/USDT,0.00646,0.007267,0.006427,0.007115,300902645.51509781,2090076.51378687951562
1658016000,2022-07-17 00:00:00,RSR/USDT,0.006853,0.00699,0.006449,0.006478,213749880.07731112,1437095.47295898314339
1657929600,2022-07-16 00:00:00,RSR/USDT,0.006725,0.007,0.00654,0.006863,205164747.67543796,1381440.19825494493701
1657843200,2022-07-15 00:00:00,RSR/USDT,0.006704,0.007136,0.00647,0.006737,296474237.11513017,2002736.46293107244501
1657756800,2022-07-14 00:00:00,RSR/USDT,0.00655,0.006834,0.006246,0.006734,262035341.75197932,1716903.49736607230571
1657670400,2022-07-13 00:00:00,RSR/USDT,0.005661,0.006619,0.005493,0.006559,439798686.57558873,2660504.63932651126724
1657584000,2022-07-12 00:00:00,RSR/USDT,0.00589,0.006108,0.005613,0.005658,183151528.83108065,1087000.55976567472312
1657497600,2022-07-11 00:00:00,RSR/USDT,0.006732,0.006749,0.005814,0.005882,261836825.8901724,1623819.38475125726495
1657411200,2022-07-10 00:00:00,RSR/USDT,0.007211,0.007214,0.006621,0.006741,143149036.02585476,978139.29624697491163
1657324800,2022-07-09 00:00:00,RSR/USDT,0.007047,0.00741,0.007014,0.007186,104187530.60598684,750689.59256858519773
1657238400,2022-07-08 00:00:00,RSR/USDT,0.007483,0.007658,0.007005,0.00704,202753742.58841113,1472303.65617755005416
1657152000,2022-07-07 00:00:00,RSR/USDT,0.007022,0.007772,0.006981,0.007467,421213016.19597049,3114691.66212263257049
1657065600,2022-07-06 00:00:00,RSR/USDT,0.006965,0.007112,0.006775,0.007033,173767707.46579809,1208346.7831030617366
1656979200,2022-07-05 00:00:00,RSR/USDT,0.007041,0.007441,0.006766,0.006944,252235357.65626083,1772982.59280723968896
1656892800,2022-07-04 00:00:00,RSR/USDT,0.006914,0.00719,0.006754,0.007048,174561764.08020271,1216277.27722133896121
1656806400,2022-07-03 00:00:00,RSR/USDT,0.007351,0.007356,0.006837,0.00692,181276979.10494617,1277619.09650135128727
1656720000,2022-07-02 00:00:00,RSR/USDT,0.006933,0.007487,0.006788,0.007354,272075940.52960597,1924926.93882732072004
1656633600,2022-07-01 00:00:00,RSR/USDT,0.007134,0.007561,0.006731,0.006931,316562203.78912478,2234909.57133789566768
1656547200,2022-06-30 00:00:00,RSR/USDT,0.007273,0.00731,0.006551,0.007134,368266364.70702338,2544752.88339072875461
1656460800,2022-06-29 00:00:00,RSR/USDT,0.007954,0.008145,0.0072,0.007275,306741556.3169108,2331783.03085415524253
1656374400,2022-06-28 00:00:00,RSR/USDT,0.008463,0.008943,0.007855,0.007956,405478890.62683239,3425321.3843838258813
1656288000,2022-06-27 00:00:00,RSR/USDT,0.00779,0.008986,0.007765,0.008475,584164332.01748206,4945504.80448070238381
1656201600,2022-06-26 00:00:00,RSR/USDT,0.00883,0.008933,0.00772,0.007794,351017549.80967776,2945539.14386576089729
1656115200,2022-06-25 00:00:00,RSR/USDT,0.00935,0.009525,0.008424,0.008829,405353160.09845808,3637681.45204415023325
1656028800,2022-06-24 00:00:00,RSR/USDT,0.008849,0.00997,0.008388,0.00935,584155144.28851483,5293863.07610686826101
1655942400,2022-06-23 00:00:00,RSR/USDT,0.008936,0.00991,0.008369,0.008847,610227463.068286,5504048.12017826967915
1655856000,2022-06-22 00:00:00,RSR/USDT,0.008035,0.009302,0.00785,0.00893,592977939.35316708,5150788.14454657219042
1655769600,2022-06-21 00:00:00,RSR/USDT,0.008637,0.00981,0.00796,0.008015,604600553.71969866,5240330.7852107718532
1655683200,2022-06-20 00:00:00,RSR/USDT,0.006488,0.008787,0.006042,0.008626,672913161.11329426,4903983.87637659419518
1655596800,2022-06-19 00:00:00,RSR/USDT,0.006143,0.006641,0.00573,0.006487,316679145.77772109,1984255.69388990100947
1655510400,2022-06-18 00:00:00,RSR/USDT,0.006982,0.0072,0.0057,0.006154,429431121.83431697,2730876.41930102351239
1655424000,2022-06-17 00:00:00,RSR/USDT,0.006232,0.007319,0.00616,0.006978,266899349.05181967,1803338.60887731076115
1655337600,2022-06-16 00:00:00,RSR/USDT,0.00717,0.00723,0.00609,0.006231,352201412.13651296,2320567.25865986948738
1655251200,2022-06-15 00:00:00,RSR/USDT,0.00622,0.00759,0.005672,0.007163,483780186.30259822,3107199.86913894072791
1655164800,2022-06-14 00:00:00,RSR/USDT,0.0068,0.0073,0.00594,0.00624,459087570.43043496,3027132.9972650365446
1655078400,2022-06-13 00:00:00,RSR/USDT,0.00672,0.00733,0.00566,0.00678,528915411.23825867,3378032.3485451614324
1654992000,2022-06-12 00:00:00,RSR/USDT,0.00795,0.00808,0.00655,0.00674,445018494.11993893,3202036.1664887191091
1654905600,2022-06-11 00:00:00,RSR/USDT,0.00864,0.00958,0.00755,0.00799,416696969.83775934,3551039.6983210256498
1654819200,2022-06-10 00:00:00,RSR/USDT,0.00801,0.00962,0.00752,0.00864,610253812.39547425,5262195.1145643890882
1654732800,2022-06-09 00:00:00,RSR/USDT,0.00868,0.00906,0.00787,0.00803,292947370.67000488,2457388.4862770191624
1654646400,2022-06-08 00:00:00,RSR/USDT,0.00995,0.0102,0.00844,0.00867,539609918.39786569,5007301.8727240474889
1654560000,2022-06-07 00:00:00,RSR/USDT,0.00727,0.01345,0.00674,0.00995,1124352297.44049914,10456042.0051581371687
1654473600,2022-06-06 00:00:00,RSR/USDT,0.00683,0.00781,0.0068,0.00727,234350031.00965035,1714104.17380428692
1654387200,2022-06-05 00:00:00,RSR/USDT,0.00727,0.00733,0.0068,0.00683,161259063.12586945,1129551.7041737683495
1654300800,2022-06-04 00:00:00,RSR/USDT,0.00706,0.008,0.00693,0.00728,290594430.43414168,2119342.7536425352261
1654214400,2022-06-03 00:00:00,RSR/USDT,0.00692,0.00737,0.00629,0.00707,338153088.89614609,2310526.9651709849062
1654128000,2022-06-02 00:00:00,RSR/USDT,0.00619,0.0075,0.00591,0.00692,324145435.93391902,2128185.4696527592017
1654041600,2022-06-01 00:00:00,RSR/USDT,0.00678,0.0073,0.0061,0.00618,284085859.64870469,1908218.7537836674327
1653955200,2022-05-31 00:00:00,RSR/USDT,0.00753,0.008,0.00668,0.00677,384134803.78898186,2754727.0065565550034
1653868800,2022-05-30 00:00:00,RSR/USDT,0.00702,0.00846,0.00686,0.00754,834959559.97645933,6292237.316779774165
