https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TIME,Volume USDT
1663030800,2022-09-13 01:00:00,TIME/USDT,56.624,56.629,56.2,56.201,5.298,297.8274494
1663027200,2022-09-13 00:00:00,TIME/USDT,56.679,56.679,56.259,56.259,0.5267,29.6473045
1663023600,2022-09-12 23:00:00,TIME/USDT,56.679,56.679,56.324,56.679,4.0179,227.0377146
1663020000,2022-09-12 22:00:00,TIME/USDT,56.52,57.244,56.359,56.674,87.6296,4952.2257098
1663016400,2022-09-12 21:00:00,TIME/USDT,56.522,56.962,56.52,56.55,70.4276,3981.1706009
1663012800,2022-09-12 20:00:00,TIME/USDT,57.245,57.527,56.52,56.527,76.2772,4315.4337427
1663009200,2022-09-12 19:00:00,TIME/USDT,57.002,57.529,56.989,57.528,65.401,3758.0440465
1663005600,2022-09-12 18:00:00,TIME/USDT,57.421,57.421,56.8,57.004,28.8902,1642.6489092
1663002000,2022-09-12 17:00:00,TIME/USDT,57.25,57.423,57.016,57.422,3.6703,209.8158089
1662998400,2022-09-12 16:00:00,TIME/USDT,58.391,58.42,56.52,57.251,98.315,5606.5359952
1662994800,2022-09-12 15:00:00,TIME/USDT,58.378,58.589,57.999,58.391,22.8454,1327.727643
1662991200,2022-09-12 14:00:00,TIME/USDT,58.463,58.858,58.377,58.378,3.2233,188.9043719
1662987600,2022-09-12 13:00:00,TIME/USDT,57.651,58.998,57.651,58.574,19.6954,1150.9980209
1662984000,2022-09-12 12:00:00,TIME/USDT,57.754,58.999,57.621,57.703,27.2209,1585.2208273
1662980400,2022-09-12 11:00:00,TIME/USDT,57.771,58.671,57.601,58.094,25.2991,1476.3026404
1662976800,2022-09-12 10:00:00,TIME/USDT,57.245,57.771,57.119,57.771,9.013,518.2504211
1662973200,2022-09-12 09:00:00,TIME/USDT,57.6,57.703,57.245,57.245,12.7848,735.9072161
1662969600,2022-09-12 08:00:00,TIME/USDT,57.318,57.6,57.246,57.6,7.0923,406.5220137
1662966000,2022-09-12 07:00:00,TIME/USDT,57.785,57.785,57.318,57.318,18.8774,1086.5331476
1662962400,2022-09-12 06:00:00,TIME/USDT,57.77,57.864,56.798,57.45,21.572,1238.9682978
1662958800,2022-09-12 05:00:00,TIME/USDT,57.605,57.811,57.365,57.365,15.6652,901.7737694
1662955200,2022-09-12 04:00:00,TIME/USDT,58.274,58.274,57.625,58.061,54.6027,3148.3495238
1662951600,2022-09-12 03:00:00,TIME/USDT,57.447,58.277,57.347,58.277,13.4598,778.986486
1662948000,2022-09-12 02:00:00,TIME/USDT,57.988,57.988,57.26,57.344,16.7888,966.7543223
1662944400,2022-09-12 01:00:00,TIME/USDT,57.288,58,57.139,57.602,12.585,722.5503479
1662940800,2022-09-12 00:00:00,TIME/USDT,58.438,58.738,57.297,57.297,127.3928,7388.7458884
1662937200,2022-09-11 23:00:00,TIME/USDT,58.44,58.44,58.433,58.44,6.2608,365.875872
1662933600,2022-09-11 22:00:00,TIME/USDT,58.44,58.44,58.1,58.1,1.1962,69.6612876
1662930000,2022-09-11 21:00:00,TIME/USDT,58,58.507,58,58.101,12.9998,756.5556665
1662926400,2022-09-11 20:00:00,TIME/USDT,58.377,58.568,58,58,10.9043,633.8697757
1662922800,2022-09-11 19:00:00,TIME/USDT,58.422,58.694,58.377,58.68,0.6674,38.976364
1662919200,2022-09-11 18:00:00,TIME/USDT,58.76,58.76,58.422,58.422,6.6172,387.8449319
1662915600,2022-09-11 17:00:00,TIME/USDT,58.901,59.226,58.76,58.761,51.0886,3009.2346956
1662912000,2022-09-11 16:00:00,TIME/USDT,58.792,59.391,58.134,58.927,35.3023,2084.6691838
1662908400,2022-09-11 15:00:00,TIME/USDT,59.792,59.792,58.377,58.789,46.2319,2723.0959183
1662904800,2022-09-11 14:00:00,TIME/USDT,57.234,61.701,57.001,60.163,595.5784,35581.6200053
1662901200,2022-09-11 13:00:00,TIME/USDT,55.713,57.204,55.7,57.203,37.3001,2097.4757756
1662897600,2022-09-11 12:00:00,TIME/USDT,56,56.377,55.731,55.731,72.2076,4043.0727339
1662894000,2022-09-11 11:00:00,TIME/USDT,56.113,56.147,55.658,55.658,4.6094,257.4130022
1662890400,2022-09-11 10:00:00,TIME/USDT,55.831,56.114,55.755,56.113,2.4055,134.712465
1662886800,2022-09-11 09:00:00,TIME/USDT,56.066,56.147,55.639,56.147,1.9934,111.7014265
1662883200,2022-09-11 08:00:00,TIME/USDT,56,56,56,56,0.7511,42.0616
1662879600,2022-09-11 07:00:00,TIME/USDT,55.59,55.999,55.59,55.63,2.7075,151.1383117
1662876000,2022-09-11 06:00:00,TIME/USDT,55.851,55.851,55.59,55.847,2.5825,143.702976
1662872400,2022-09-11 05:00:00,TIME/USDT,55.732,56.112,55.651,55.732,2.2314,124.5970227
1662868800,2022-09-11 04:00:00,TIME/USDT,55.864,55.864,55.732,55.849,2.6248,146.5235473
1662865200,2022-09-11 03:00:00,TIME/USDT,56.185,56.366,55.893,55.893,22.9818,1290.5158978
1662861600,2022-09-11 02:00:00,TIME/USDT,56.21,56.21,56.186,56.186,3.3064,185.8506834
1662858000,2022-09-11 01:00:00,TIME/USDT,56.368,56.624,56.221,56.622,2.1065,118.7088386
1662854400,2022-09-11 00:00:00,TIME/USDT,56.378,56.679,56.368,56.369,2.8641,162.293732
1662850800,2022-09-10 23:00:00,TIME/USDT,56.551,56.679,56.378,56.378,1.9972,112.8097055
1662847200,2022-09-10 22:00:00,TIME/USDT,56.682,56.962,56.551,56.662,5.4362,308.219392
1662843600,2022-09-10 21:00:00,TIME/USDT,57.244,57.493,56.705,56.705,11.9797,683.4305327
1662840000,2022-09-10 20:00:00,TIME/USDT,56.901,57.279,56.05,56.962,44.779,2540.1870216
1662836400,2022-09-10 19:00:00,TIME/USDT,56.853,57.226,56.798,56.798,1.6061,91.7170262
