https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1550494800,2019-02-18 13:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550491200,2019-02-18 12:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550487600,2019-02-18 11:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550484000,2019-02-18 10:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550480400,2019-02-18 09:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550476800,2019-02-18 08:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550473200,2019-02-18 07:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550469600,2019-02-18 06:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550466000,2019-02-18 05:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550462400,2019-02-18 04:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550458800,2019-02-18 03:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550455200,2019-02-18 02:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550451600,2019-02-18 01:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550448000,2019-02-18 00:00:00,LTC/USDT,43.739597,43.739597,43.739597,43.739597,0,0
1550444400,2019-02-17 23:00:00,LTC/USDT,43.739592,43.739597,43.739592,43.739597,0.820282,35.87880357
1550440800,2019-02-17 22:00:00,LTC/USDT,43.40001,43.704476,43.40001,43.704476,0.037487,1.62789251
1550437200,2019-02-17 21:00:00,LTC/USDT,43.379998,43.393641,43.379998,43.393641,52.860963,2293.68675828
1550433600,2019-02-17 20:00:00,LTC/USDT,43.379997,43.379997,43.379997,43.379997,6.769126,293.64466557
1550430000,2019-02-17 19:00:00,LTC/USDT,42.924395,42.924395,42.924395,42.924395,0.664919,28.54124579
1550426400,2019-02-17 18:00:00,LTC/USDT,43.093508,43.104002,43.093508,43.093508,3.367636,145.1344787
1550422800,2019-02-17 17:00:00,LTC/USDT,43.393632,43.393632,43.393632,43.393632,8.289881,359.72804544
1550419200,2019-02-17 16:00:00,LTC/USDT,43.135413,43.597828,43.135413,43.597828,0.855531,37.11075431
1550415600,2019-02-17 15:00:00,LTC/USDT,42.904503,42.904503,42.904503,42.904503,0.069199,2.9689487
1550408400,2019-02-17 13:00:00,LTC/USDT,43.296766,43.350865,43.125397,43.341757,6.071424,262.89412141
1550404800,2019-02-17 12:00:00,LTC/USDT,43.115119,43.656652,42.62596,42.625961,20.168225,860.16118296
1550401200,2019-02-17 11:00:00,LTC/USDT,43.667692,43.667692,43.667692,43.667692,11.373724,496.66427653
1550397600,2019-02-17 10:00:00,LTC/USDT,43.829654,44.79071,43.829654,44.128089,56.981654,2530.17465022
1550394000,2019-02-17 09:00:00,LTC/USDT,43.980867,43.980867,43.980867,43.980867,0.009185,0.40396426
1550390400,2019-02-17 08:00:00,LTC/USDT,43.664676,43.664676,43.664676,43.664676,0.02997,1.30863034
1550386800,2019-02-17 07:00:00,LTC/USDT,43.998147,43.998147,43.998147,43.998147,2,87.996294
1550383200,2019-02-17 06:00:00,LTC/USDT,44.16523,44.16523,44.16523,44.16523,87.019671,3843.24378424
1550379600,2019-02-17 05:00:00,LTC/USDT,43.541218,43.855795,43.541218,43.798,8.643878,378.2638789
1550376000,2019-02-17 04:00:00,LTC/USDT,43.701071,43.701071,43.302587,43.302587,0.13011,5.68191767
1550372400,2019-02-17 03:00:00,LTC/USDT,43.5,43.5,43.5,43.5,105.114963,4572.5008905
1550368800,2019-02-17 02:00:00,LTC/USDT,43.730743,43.847379,43.5,43.847379,10.171636,442.55310834
1550365200,2019-02-17 01:00:00,LTC/USDT,43.4,43.4,43.170432,43.170432,0.499176,21.60368089
1550361600,2019-02-17 00:00:00,LTC/USDT,43.143276,43.998519,43.097355,43.998519,15.504761,674.66107995
1550358000,2019-02-16 23:00:00,LTC/USDT,43.670473,43.670473,43.37205,43.37205,3.035986,132.30443913
1550350800,2019-02-16 21:00:00,LTC/USDT,43.620995,43.620997,43.620995,43.620997,10.975634,478.76807597
1550347200,2019-02-16 20:00:00,LTC/USDT,43.929554,43.956476,43.929554,43.956476,2.000004,87.89870605
1550343600,2019-02-16 19:00:00,LTC/USDT,43.89674,43.907188,43.89674,43.907188,0.82173,36.07127929
1550332800,2019-02-16 16:00:00,LTC/USDT,44.233814,44.233814,43.432855,43.938066,34.394098,1509.92182519
1550329200,2019-02-16 15:00:00,LTC/USDT,44.351874,44.351874,44.233814,44.233814,15.003952,665.45174899
1550325600,2019-02-16 14:00:00,LTC/USDT,43.8,44.171671,43.620747,44.171671,3.114037,136.63330782
1550322000,2019-02-16 13:00:00,LTC/USDT,43.716204,43.9154,43.716154,43.8,3.736046,163.6578356
1550318400,2019-02-16 12:00:00,LTC/USDT,43.492094,43.716284,43.492094,43.716262,0.831699,36.18930161
1550314800,2019-02-16 11:00:00,LTC/USDT,43.67,43.873463,43.67,43.873463,13.810242,605.80140991
1550307600,2019-02-16 09:00:00,LTC/USDT,43.579476,43.579476,43.579472,43.579476,29.789045,1298.19097148
1550304000,2019-02-16 08:00:00,LTC/USDT,44,44,43.819847,43.999984,2.201273,96.67584
1550300400,2019-02-16 07:00:00,LTC/USDT,43.628033,43.895687,43.392778,43.461742,30.178562,1314.96310938
1550296800,2019-02-16 06:00:00,LTC/USDT,43.165209,43.183556,43.153399,43.153399,10.361913,447.30260361
1550293200,2019-02-16 05:00:00,LTC/USDT,43.313143,43.521836,43.313143,43.521836,0.278963,12.08406739
1550289600,2019-02-16 04:00:00,LTC/USDT,43.093503,43.76971,43.093503,43.551228,46.277348,2009.21998133
1550286000,2019-02-16 03:00:00,LTC/USDT,42.803722,43.432659,42.75538,42.75538,40.834334,1771.04573917
1550282400,2019-02-16 02:00:00,LTC/USDT,42.566445,42.566445,42.357739,42.357739,0.026377,1.11756269
1550278800,2019-02-16 01:00:00,LTC/USDT,42.753295,42.803615,42.337651,42.346529,8.969215,382.71056229
1550271600,2019-02-15 23:00:00,LTC/USDT,42.088845,42.088845,42.088845,42.088845,2.396405,100.8619186
1550268000,2019-02-15 22:00:00,LTC/USDT,42.241552,42.383826,41.840098,42.383826,38.37108,1621.27234635
1550264400,2019-02-15 21:00:00,LTC/USDT,42.051402,42.261351,42.051402,42.261351,4.604063,194.05483196
