https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1659398400,2022-08-02 00:00:00,COMB/USDT,0.000685,0.000704,0.000669,0.000672,231367827.2794,157830.8382716229
1659312000,2022-08-01 00:00:00,COMB/USDT,0.000679,0.000698,0.000669,0.000688,233811018.143,159472.8365236324
1659225600,2022-07-31 00:00:00,COMB/USDT,0.000701,0.000703,0.000669,0.000673,233053793.8216,158861.0454180258
1659139200,2022-07-30 00:00:00,COMB/USDT,0.0007,0.000711,0.000679,0.000704,217828384.2949,151135.1901178952
1659052800,2022-07-29 00:00:00,COMB/USDT,0.000709,0.000714,0.000678,0.000703,215506580.2479,150534.4607841969
1658966400,2022-07-28 00:00:00,COMB/USDT,0.000665,0.000716,0.000662,0.000709,214291652.9377,145198.4052637194
1658880000,2022-07-27 00:00:00,COMB/USDT,0.000657,0.000689,0.000647,0.000666,233902304.3696,154074.7680047997
1658793600,2022-07-26 00:00:00,COMB/USDT,0.000664,0.000669,0.000635,0.000656,188726815.0532,123118.7808501235
1658707200,2022-07-25 00:00:00,COMB/USDT,0.000694,0.000698,0.000661,0.000669,240235829.6642,162728.7819872839
1658620800,2022-07-24 00:00:00,COMB/USDT,0.000672,0.000725,0.000666,0.000698,240727691.0799,164250.8132044367
1658534400,2022-07-23 00:00:00,COMB/USDT,0.000688,0.000692,0.000661,0.000674,265221185.4975,180153.1585903732
1658448000,2022-07-22 00:00:00,COMB/USDT,0.000687,0.000725,0.000675,0.000686,266498302.9996,185194.448310619
1658361600,2022-07-21 00:00:00,COMB/USDT,0.000738,0.000738,0.00066,0.000685,179690709.3352,122396.6891365041
1658275200,2022-07-20 00:00:00,COMB/USDT,0.00072,0.000873,0.00071,0.000737,159172499.18498716,117994.88981003322684
1658188800,2022-07-19 00:00:00,COMB/USDT,0.000705,0.000741,0.000675,0.000715,70583585.92226004,50293.55672590626883
