https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume USDT
1660867200,2022-08-19 00:00:00,DERO/USDT,3.89163,3.89163,3.515,3.5362,17053.2439,62156.196752816
1660780800,2022-08-18 00:00:00,DERO/USDT,3.95141,4.1333,3.89292,3.9123,4137.1797,16441.541316629
1660694400,2022-08-17 00:00:00,DERO/USDT,4.03694,4.19394,3.902,3.9514,11424.1771,45909.419136091
1660608000,2022-08-16 00:00:00,DERO/USDT,3.99705,4.14989,3.90011,4.03694,9507.8194,37974.087991197
1660521600,2022-08-15 00:00:00,DERO/USDT,4.00011,4.15227,3.95,3.97505,9017.5075,36190.247354051
1660435200,2022-08-14 00:00:00,DERO/USDT,4.1047,4.19999,4.0001,4.0001,11859.6944,48716.172121414
1660348800,2022-08-13 00:00:00,DERO/USDT,4.0709,4.19611,4,4.09963,12838.1766,52129.213770008
1660262400,2022-08-12 00:00:00,DERO/USDT,3.945,4.08,3.89762,4.05,15801.726,63438.718392685
1660176000,2022-08-11 00:00:00,DERO/USDT,4.04739,4.13188,3.8945,3.95794,18679.3685,75146.033192879
1660089600,2022-08-10 00:00:00,DERO/USDT,4.04499,4.0826,3.8,4.03447,27632.22800098,109345.749865172498
1660003200,2022-08-09 00:00:00,DERO/USDT,4.18588,4.22946,4.00313,4.04499,5233.5498,21523.217844097
1659916800,2022-08-08 00:00:00,DERO/USDT,4.10951,4.36408,4.05,4.18588,11817.3011,49174.922600144
1659830400,2022-08-07 00:00:00,DERO/USDT,4.10364,4.23612,4.0231,4.10975,5164.7714,21123.386376945
1659744000,2022-08-06 00:00:00,DERO/USDT,4.125,4.1897,4.03433,4.10365,2839.3927,11662.702510409
1659657600,2022-08-05 00:00:00,DERO/USDT,4.04391,4.3899,4.02333,4.1123,10024.2097,41283.198012119
1659571200,2022-08-04 00:00:00,DERO/USDT,4.04,4.15139,3.9637,4.04131,4005.3899,16273.283525162
1659484800,2022-08-03 00:00:00,DERO/USDT,3.99563,4.2037,3.90295,4.0463,9299.4229,37956.276630819
1659398400,2022-08-02 00:00:00,DERO/USDT,4.09963,4.17356,3.9671,4.01943,6319.8082,25484.899268133
1659312000,2022-08-01 00:00:00,DERO/USDT,4.11,4.54658,4.01,4.13236,12215.9213,51271.65217263
1659225600,2022-07-31 00:00:00,DERO/USDT,4.26974,4.34254,4.10364,4.10364,2701.789,11546.370991554
1659139200,2022-07-30 00:00:00,DERO/USDT,4.25329,4.43763,4.16,4.26974,6685.2695,28345.569524652
1659052800,2022-07-29 00:00:00,DERO/USDT,4.35963,4.38562,4.16,4.24863,17745.1456,75317.321402734
1658966400,2022-07-28 00:00:00,DERO/USDT,4.23498,4.49,4.0675,4.35,12403.368,53184.315943246
1658880000,2022-07-27 00:00:00,DERO/USDT,3.78339,4.42939,3.76331,4.23612,8746.4176,35899.258747384
1658793600,2022-07-26 00:00:00,DERO/USDT,3.71459,3.82428,3.6442,3.78339,6910.5007,25893.857507285
1658707200,2022-07-25 00:00:00,DERO/USDT,4.05132,4.08196,3.7,3.7,8563.1862,32907.714863595
1658620800,2022-07-24 00:00:00,DERO/USDT,3.95011,4.20001,3.94403,4.0592,6976.0106,28516.514038758
1658534400,2022-07-23 00:00:00,DERO/USDT,4.031,4.1421,3.8166,3.96362,6255.0415,24648.838488027
1658448000,2022-07-22 00:00:00,DERO/USDT,4.08334,4.29999,3.98333,4.03101,7877.5921,32446.165641155
1658361600,2022-07-21 00:00:00,DERO/USDT,4.0099,4.36408,3.64251,4.08334,19399.28927621,76565.0504485694976
1658275200,2022-07-20 00:00:00,DERO/USDT,4.13236,4.34249,3.69425,4.00991,16518.33623203,67646.0204797801374
1658188800,2022-07-19 00:00:00,DERO/USDT,3.8987,4.2,3.72802,4.13236,10769.2829881,43312.8878414997536
1658102400,2022-07-18 00:00:00,DERO/USDT,3.69999,4.1495,3.55216,3.88297,20834.77300245,80037.1273149121499
1658016000,2022-07-17 00:00:00,DERO/USDT,3.65186,3.8,3.61002,3.70725,5583.17735784,20863.9901619527014
1657929600,2022-07-16 00:00:00,DERO/USDT,3.45023,3.7999,3.45,3.60411,6188.60212371,22366.2147832576812
1657843200,2022-07-15 00:00:00,DERO/USDT,3.4694,3.70929,3.41,3.45021,10116.01534425,35898.2487213585349
1657756800,2022-07-14 00:00:00,DERO/USDT,3.3732,3.5299,3.25393,3.46928,8852.62976378,29865.8719455624561
1657670400,2022-07-13 00:00:00,DERO/USDT,3.09853,3.54,3.05223,3.34092,18527.8659904,59537.9279793410432
1657584000,2022-07-12 00:00:00,DERO/USDT,3.04044,3.6,2.95019,3.06234,18293.97223727,58162.4412327702002
1657497600,2022-07-11 00:00:00,DERO/USDT,3.24524,3.69425,3.0121,3.0121,15737.52176968,51274.1694126681216
1657411200,2022-07-10 00:00:00,DERO/USDT,3.48429,3.49179,3.16,3.28563,4298.86456606,14078.3767493179681
1657324800,2022-07-09 00:00:00,DERO/USDT,3.4704,3.566,3.20001,3.47878,7782.75275771,26472.5236893991709
1657238400,2022-07-08 00:00:00,DERO/USDT,2.9633,3.89789,2.87455,3.50105,31315.86236599,107859.3258753451255
1657152000,2022-07-07 00:00:00,DERO/USDT,2.97651,3.06,2.8,2.86015,15764.92656064,45456.9080484189014
1657065600,2022-07-06 00:00:00,DERO/USDT,2.73207,2.99,2.63264,2.89755,7363.5784463,20784.333689374977
1656979200,2022-07-05 00:00:00,DERO/USDT,2.71,2.9899,2.53073,2.73858,18570.62146757,50518.7297601615458
1656892800,2022-07-04 00:00:00,DERO/USDT,2.629,2.77398,2.308,2.71,26625.38456179,67546.7787567374436
1656806400,2022-07-03 00:00:00,DERO/USDT,2.7526,2.78389,2.629,2.629,16224.19180363,44027.595592805118
1656720000,2022-07-02 00:00:00,DERO/USDT,2.97497,3.07552,2.542,2.8048,70114.62517326,196671.0384326774738
1656633600,2022-07-01 00:00:00,DERO/USDT,3.18387,3.2835,2.892,2.96478,23521.10519471,71760.7780589058212
1656547200,2022-06-30 00:00:00,DERO/USDT,3.313,3.38455,3.00011,3.18397,11912.21786403,37790.1353506428519
1656460800,2022-06-29 00:00:00,DERO/USDT,3.61669,3.67521,3.3091,3.3775,16544.2635603,57632.6854336795682
1656374400,2022-06-28 00:00:00,DERO/USDT,3.75023,3.94616,3.61555,3.6732,9801.64352782,36757.2616882905449
1656288000,2022-06-27 00:00:00,DERO/USDT,3.98549,4.00177,3.73711,3.75,6911.27690438,26596.0713622375078
1656201600,2022-06-26 00:00:00,DERO/USDT,4.05109,4.0799,3.88886,3.96362,4704.13219447,18759.1991306069759
1656115200,2022-06-25 00:00:00,DERO/USDT,4.02302,4.14586,3.85971,4.0387,9595.98956311,38284.7711408435277
1656028800,2022-06-24 00:00:00,DERO/USDT,3.96367,4.15276,3.96367,4.0112,7730.56936151,31196.8339288969477
1655942400,2022-06-23 00:00:00,DERO/USDT,3.93855,4.0879,3.8363,3.9778,5232.20849184,20767.8240007669366
1655856000,2022-06-22 00:00:00,DERO/USDT,4.04304,4.06349,3.8489,3.87793,9739.05307248,38587.7713685315041
1655769600,2022-06-21 00:00:00,DERO/USDT,3.86582,4.25,3.75628,4.08004,14750.70034825,60134.4103159857519
1655683200,2022-06-20 00:00:00,DERO/USDT,3.93527,4.03782,3.63762,3.86583,16592.94277487,64322.2403985355573
1655596800,2022-06-19 00:00:00,DERO/USDT,3.49151,3.98741,3.31043,3.88,18170.80750774,66058.6096772046211
1655510400,2022-06-18 00:00:00,DERO/USDT,3.83011,3.90039,3.28,3.49151,15006.34044568,52194.7957855142197
1655424000,2022-06-17 00:00:00,DERO/USDT,3.66464,3.99998,3.61952,3.87222,8112.84054416,31260.7416213288026
1655337600,2022-06-16 00:00:00,DERO/USDT,3.92728,4.21088,3.61,3.66467,21689.71771815,83786.2533165116169
1655251200,2022-06-15 00:00:00,DERO/USDT,3.62631,4.03999,3.3814,3.92735,35136.34670354,126064.9126317645347
1655164800,2022-06-14 00:00:00,DERO/USDT,3.53643,3.90039,3.1844,3.69749,22858.6067213,80584.8375257237061
1655078400,2022-06-13 00:00:00,DERO/USDT,3.99783,3.99959,3.4573,3.5279,40365.11997698,148673.6471728497038
1654992000,2022-06-12 00:00:00,DERO/USDT,4.5,4.6805,4,4,29747.43242477,127632.5972417361146
1654905600,2022-06-11 00:00:00,DERO/USDT,5.23953,5.3183,4.5,4.5,12014.09935315,58561.0372009913882
1654819200,2022-06-10 00:00:00,DERO/USDT,5.7044,5.7591,5.166,5.23377,11985.91360055,64345.287408631933
1654732800,2022-06-09 00:00:00,DERO/USDT,5.8157,6.00002,5.63785,5.7021,11383.84830142,66064.6146661639055
1654646400,2022-06-08 00:00:00,DERO/USDT,6.25149,6.25149,5.8163,5.85903,4777.75729606,28772.8837323564503
1654560000,2022-06-07 00:00:00,DERO/USDT,6.29312,6.32769,5.8001,6.22453,11338.83643676,68651.2397883904284
1654473600,2022-06-06 00:00:00,DERO/USDT,6.25551,6.50819,6.23,6.29267,11033.71864077,70006.5796949857951
1654387200,2022-06-05 00:00:00,DERO/USDT,6.14469,6.3244,5.961,6.29928,3373.14198292,20588.6917005372837
1654300800,2022-06-04 00:00:00,DERO/USDT,6.13385,6.2324,6.0001,6.16325,6751.67454143,41145.2543094309464
1654214400,2022-06-03 00:00:00,DERO/USDT,6.31803,6.40189,5.9012,6.07892,13443.69265203,81955.5890410374254
1654128000,2022-06-02 00:00:00,DERO/USDT,5.90767,6.38,5.86964,6.25549,7666.79040436,46872.7117337797954
1654041600,2022-06-01 00:00:00,DERO/USDT,6.41281,6.74677,5.86964,5.94897,18963.4300682,118717.1746782634312
1653955200,2022-05-31 00:00:00,DERO/USDT,6.32509,6.60074,6.12834,6.41273,12156.49311171,77388.5069872324164
1653868800,2022-05-30 00:00:00,DERO/USDT,5.44438,6.49989,5.40923,6.32233,17355.18738596,105136.2251420277849
1653782400,2022-05-29 00:00:00,DERO/USDT,5.41089,5.56,5.26029,5.44438,15236.36761312,82230.8999858761165
1653696000,2022-05-28 00:00:00,DERO/USDT,5.30263,5.44091,5.2496,5.41445,3665.57106432,19569.1996697665904
1653609600,2022-05-27 00:00:00,DERO/USDT,5.53513,5.56118,5.1319,5.30264,19746.01152084,104535.5895910415115
1653523200,2022-05-26 00:00:00,DERO/USDT,5.686,5.8848,5.25,5.55669,16510.80138109,92521.3719631804395
1653436800,2022-05-25 00:00:00,DERO/USDT,5.9499,6.0999,5.62961,5.62961,9015.57544627,52403.8947096693919
